employee_id,department,project,date,hours_worked,tasks_completed
503,IT,Gamma,2024-05-07,2.8,4
504,Marketing,Alpha,2024-05-19,4.7,3
518,Marketing,Beta,2024-05-23,3.5,1
513,IT,Alpha,2024-05-31,6.8,1
507,IT,Alpha,2024-05-15,2.7,2
511,Finance,Alpha,2024-05-28,4.8,5
511,Finance,Beta,2024-05-26,3.9,2
506,Marketing,Beta,2024-05-14,5.5,1
511,HR,Alpha,2024-05-13,4.4,5
509,Marketing,Beta,2024-05-31,6.9,4
516,Marketing,Alpha,2024-05-06,2.2,4
505,Marketing,Gamma,2024-05-20,6.4,5
520,Marketing,Beta,2024-05-24,3.6,3
506,HR,Alpha,2024-05-29,3.9,4
504,IT,Alpha,2024-05-28,7.6,2
508,Marketing,Alpha,2024-05-25,8.7,4
516,IT,Gamma,2024-05-20,4.2,4
516,HR,Beta,2024-05-09,7.8,3
511,IT,Alpha,2024-05-09,2.7,4
520,HR,Alpha,2024-05-26,6.4,2
514,HR,Alpha,2024-05-26,7.3,2
508,Marketing,Beta,2024-05-16,3.1,2
506,HR,Gamma,2024-05-30,5.0,1
508,Finance,Gamma,2024-05-29,8.2,4
519,IT,Alpha,2024-05-21,2.7,4
508,Marketing,Alpha,2024-05-11,2.1,5
501,Finance,Beta,2024-05-11,6.1,3
513,IT,Alpha,2024-05-21,5.0,1
508,Finance,Gamma,2024-05-18,7.6,4
509,Marketing,Beta,2024-05-01,8.5,2
516,IT,Beta,2024-05-08,4.1,1
505,IT,Alpha,2024-05-07,4.7,1
511,HR,Gamma,2024-05-03,5.4,2
517,Finance,Beta,2024-05-02,6.1,5
509,Finance,Beta,2024-05-17,8.9,4
517,IT,Alpha,2024-05-23,6.9,3
515,Finance,Gamma,2024-05-14,4.7,5
501,IT,Gamma,2024-05-27,3.8,3
516,IT,Beta,2024-05-18,8.6,3
513,HR,Gamma,2024-05-23,2.9,4
520,IT,Alpha,2024-05-08,7.0,1
503,Finance,Alpha,2024-05-31,8.5,2
514,Marketing,Beta,2024-05-29,6.7,3
503,HR,Beta,2024-05-02,5.0,5
518,Marketing,Gamma,2024-05-22,3.4,4
514,IT,Alpha,2024-05-03,4.6,4
517,HR,Gamma,2024-05-01,6.9,5
506,HR,Gamma,2024-05-19,6.5,3
508,IT,Beta,2024-05-07,8.5,3
502,Finance,Alpha,2024-05-07,8.1,3
518,IT,Alpha,2024-05-04,7.7,5
503,IT,Gamma,2024-05-22,8.4,3
502,IT,Alpha,2024-05-05,3.9,5
505,IT,Alpha,2024-05-24,4.6,4
509,IT,Gamma,2024-05-20,4.7,5
519,Finance,Beta,2024-05-27,5.9,2
502,HR,Beta,2024-05-19,6.7,1
504,Finance,Beta,2024-05-07,4.0,1
517,IT,Gamma,2024-05-26,2.1,2
504,HR,Alpha,2024-05-15,4.8,5
506,HR,Gamma,2024-05-16,4.2,1
502,HR,Gamma,2024-05-18,8.6,2
504,Marketing,Beta,2024-05-28,8.2,3
508,Finance,Alpha,2024-05-22,8.0,2
502,Finance,Beta,2024-05-02,6.6,1
502,Finance,Alpha,2024-05-10,4.4,5
508,IT,Alpha,2024-05-20,5.8,5
505,Finance,Beta,2024-05-18,7.7,5
514,Marketing,Beta,2024-05-12,2.7,1
513,Marketing,Gamma,2024-05-01,7.6,3
519,Finance,Alpha,2024-05-24,2.3,5
501,Marketing,Alpha,2024-05-04,7.7,4
512,Finance,Alpha,2024-05-26,7.7,3
520,Marketing,Alpha,2024-05-30,2.4,2
503,HR,Alpha,2024-05-23,6.4,4
514,HR,Gamma,2024-05-05,5.5,3
505,IT,Alpha,2024-05-21,3.2,1
517,HR,Gamma,2024-05-31,3.0,4
517,IT,Beta,2024-05-20,7.4,3
511,HR,Gamma,2024-05-16,6.0,3
512,Marketing,Gamma,2024-05-06,8.9,3
504,IT,Gamma,2024-05-21,8.9,3
509,Marketing,Beta,2024-05-30,8.9,5
520,Marketing,Alpha,2024-05-31,2.8,4
515,IT,Gamma,2024-05-05,8.6,3
501,HR,Beta,2024-05-10,3.7,2
501,HR,Gamma,2024-05-17,5.2,3
503,Marketing,Gamma,2024-05-17,7.3,5
512,Finance,Beta,2024-05-26,3.4,4
506,Finance,Gamma,2024-05-06,6.0,4
503,IT,Gamma,2024-05-01,3.3,3
508,Marketing,Alpha,2024-05-23,2.7,3
513,IT,Beta,2024-05-04,2.8,2
512,IT,Gamma,2024-05-09,4.5,4
520,HR,Beta,2024-05-31,2.0,4
502,HR,Beta,2024-05-29,5.0,4
517,Marketing,Alpha,2024-05-10,6.6,1
519,Finance,Alpha,2024-05-11,4.8,4
519,HR,Alpha,2024-05-07,2.6,4
515,IT,Gamma,2024-05-29,2.4,2
